school,sex,paid,activities,famrel,freetime,goout,Dalc,Walc,health,absences,grade,G1,G2
GP,F,no,no,4.0,2.0,3.0,1.0,1.0,5.0,2.0,16,15.0,16.0
GP,F,no,yes,2.0,4.0,4.0,2.0,3.0,4.0,6.0,11,10.0,11.0
GP,F,no,yes,5.0,5.0,5.0,,5.0,5.0,6.0,10,10.0,8.0
GP,F,no,yes,4.0,4.0,3.0,1.0,1.0,1.0,4.0,9,8.0,10.0
GP,F,yes,yes,3.0,4.0,4.0,2.0,4.0,4.0,2.0,9,10.0,9.0
GP,F,no,yes,4.0,4.0,4.0,2.0,4.0,2.0,0.0,10,10.0,10.0
GP,F,no,yes,5.0,4.0,3.0,1.0,2.0,1.0,2.0,15,16.0,15.0
GP,M,no,yes,1.0,3.0,3.0,5.0,5.0,3.0,4.0,13,13.0,13.0
GP,F,yes,no,4.0,3.0,3.0,1.0,2.0,5.0,4.0,7,7.0,7.0
GP,F,yes,no,4.0,1.0,3.0,1.0,3.0,4.0,2.0,8,8.0,9.0
GP,F,no,no,4.0,4.0,2.0,2.0,3.0,3.0,12.0,16,16.0,16.0
GP,M,yes,no,4.0,3.0,2.0,1.0,1.0,5.0,0.0,14,13.0,15.0
GP,M,no,no,3.0,3.0,3.0,,1.0,3.0,0.0,10,10.0,10.0
GP,F,no,no,3.0,3.0,4.0,2.0,4.0,5.0,2.0,6,8.0,6.0
GP,M,no,yes,5.0,3.0,2.0,2.0,2.0,5.0,2.0,13,12.0,12.0
GP,F,yes,yes,4.0,3.0,3.0,2.0,4.0,5.0,54.0,11,11.0,12.0
GP,M,yes,yes,4.0,3.0,3.0,2.0,3.0,5.0,6.0,9,9.0,9.0
GP,M,no,yes,3.0,4.0,3.0,1.0,1.0,1.0,8.0,11,11.0,11.0
GP,F,yes,no,5.0,2.0,3.0,1.0,3.0,3.0,0.0,11,11.0,11.0
GP,M,no,yes,4.0,5.0,1.0,1.0,1.0,3.0,2.0,9,8.0,8.0
GP,F,no,no,2.0,4.0,3.0,1.0,2.0,3.0,12.0,5,5.0,5.0
GP,M,yes,yes,3.0,2.0,2.0,1.0,3.0,3.0,2.0,11,10.0,12.0
GP,M,yes,no,5.0,3.0,2.0,1.0,2.0,5.0,4.0,11,11.0,10.0
GP,F,yes,no,4.0,4.0,4.0,1.0,1.0,5.0,,6,7.0,6.0
GP,M,yes,yes,5.0,3.0,3.0,1.0,3.0,4.0,4.0,15,15.0,15.0
GP,F,no,yes,4.0,3.0,2.0,2.0,3.0,4.0,2.0,10,9.0,10.0
GP,F,yes,no,4.0,4.0,4.0,2.0,3.0,5.0,6.0,8,7.0,9.0
GP,F,no,no,4.0,3.0,4.0,1.0,2.0,2.0,4.0,7,8.0,7.0
GP,F,no,yes,5.0,3.0,3.0,1.0,3.0,1.0,4.0,14,,14.0
GP,M,yes,yes,4.0,4.0,2.0,1.0,1.0,3.0,12.0,10,11.0,10.0
GP,M,no,no,4.0,1.0,3.0,,5.0,5.0,18.0,7,8.0,6.0
GP,F,yes,no,4.0,3.0,3.0,1.0,3.0,4.0,0.0,7,7.0,7.0
GP,F,yes,yes,4.0,5.0,5.0,1.0,3.0,1.0,4.0,17,16.0,17.0
GP,F,no,no,3.0,3.0,3.0,2.0,3.0,2.0,4.0,6,7.0,6.0
GP,F,yes,yes,5.0,3.0,3.0,1.0,1.0,1.0,0.0,10,11.0,10.0
GP,M,no,yes,4.0,3.0,4.0,1.0,1.0,4.0,6.0,13,11.0,13.0
GP,F,yes,yes,3.0,1.0,2.0,1.0,1.0,1.0,2.0,9,7.0,10.0
GP,M,no,yes,3.0,3.0,3.0,1.0,1.0,4.0,2.0,14,11.0,15.0
GP,F,yes,no,4.0,3.0,5.0,1.0,1.0,5.0,2.0,9,8.0,9.0
GP,F,no,yes,5.0,3.0,4.0,1.0,2.0,,6.0,13,11.0,14.0
GP,F,yes,no,5.0,3.0,5.0,1.0,1.0,3.0,0.0,8,7.0,9.0
GP,M,yes,yes,4.0,5.0,5.0,5.0,5.0,4.0,14.0,6,7.0,7.0
GP,M,no,yes,4.0,4.0,3.0,1.0,1.0,4.0,0.0,17,16.0,17.0
GP,M,no,yes,5.0,3.0,3.0,1.0,1.0,5.0,4.0,12,10.0,13.0
GP,F,yes,no,4.0,3.0,5.0,1.0,1.0,2.0,26.0,6,7.0,6.0
GP,M,yes,yes,5.0,4.0,4.0,1.0,1.0,1.0,0.0,17,16.0,18.0
GP,F,no,no,4.0,3.0,3.0,1.0,1.0,4.0,10.0,11,10.0,11.0
GP,F,yes,no,5.0,1.0,2.0,1.0,1.0,3.0,8.0,8,7.0,8.0
GP,M,no,yes,5.0,3.0,3.0,1.0,1.0,5.0,2.0,17,16.0,18.0
GP,M,yes,yes,1.0,3.0,5.0,3.0,5.0,1.0,6.0,12,10.0,13.0
GP,F,yes,yes,5.0,4.0,5.0,1.0,1.0,4.0,4.0,15,14.0,15.0
GP,M,no,yes,5.0,5.0,3.0,1.0,1.0,4.0,6.0,19,18.0,19.0
GP,F,no,yes,4.0,,2.0,,1.0,2.0,0.0,9,7.0,10.0
GP,F,no,yes,3.0,1.0,2.0,1.0,1.0,5.0,6.0,12,10.0,13.0
GP,M,no,no,3.0,5.0,2.0,1.0,1.0,3.0,10.0,19,18.0,
GP,M,no,yes,5.0,4.0,2.0,1.0,1.0,5.0,8.0,9,9.0,9.0
GP,M,no,yes,5.0,4.0,4.0,1.0,2.0,5.0,2.0,15,15.0,15.0
GP,M,no,yes,4.0,4.0,3.0,1.0,1.0,2.0,2.0,13,11.0,13.0
GP,M,no,yes,5.0,4.0,2.0,1.0,1.0,5.0,0.0,13,13.0,14.0
GP,M,no,yes,5.0,2.0,4.0,1.0,4.0,5.0,20.0,8,9.0,7.0
GP,M,no,no,3.0,4.0,3.0,1.0,2.0,4.0,6.0,13,14.0,13.0
GP,F,no,no,3.0,2.0,3.0,1.0,2.0,1.0,2.0,15,16.0,15.0
GP,M,yes,yes,5.0,5.0,4.0,1.0,2.0,5.0,6.0,15,16.0,14.0
GP,F,yes,yes,4.0,2.0,2.0,1.0,2.0,5.0,2.0,13,13.0,13.0
GP,M,no,yes,3.0,4.0,4.0,1.0,,5.0,18.0,13,14.0,11.0
GP,F,yes,no,5.0,,4.0,1.0,1.0,5.0,0.0,8,8.0,7.0
GP,M,no,no,5.0,5.0,5.0,3.0,2.0,5.0,0.0,13,13.0,13.0
GP,F,no,yes,5.0,3.0,2.0,1.0,1.0,1.0,0.0,9,7.0,10.0
GP,F,no,no,3.0,4.0,2.0,1.0,1.0,5.0,2.0,8,7.0,8.0
GP,M,no,yes,3.0,3.0,3.0,1.0,2.0,4.0,0.0,4,7.0,4.0
GP,M,yes,yes,3.0,5.0,5.0,2.0,5.0,4.0,8.0,18,18.0,
GP,F,no,no,4.0,2.0,2.0,2.0,2.0,5.0,0.0,4,12.0,0.0
GP,F,no,yes,4.0,3.0,3.0,1.0,2.0,4.0,0.0,3,8.0,0.0
GP,F,no,no,3.0,4.0,4.0,1.0,3.0,5.0,12.0,12,10.0,13.0
GP,F,no,no,3.0,2.0,1.0,1.0,4.0,5.0,16.0,11,12.0,11.0
GP,M,no,no,5.0,3.0,3.0,1.0,1.0,5.0,0.0,3,9.0,0.0
GP,F,no,yes,4.0,3.0,3.0,1.0,1.0,5.0,0.0,4,11.0,0.0
GP,M,no,no,5.0,4.0,5.0,2.0,4.0,5.0,0.0,3,10.0,0.0
GP,F,no,yes,4.0,3.0,2.0,1.0,1.0,5.0,0.0,1,4.0,0.0
GP,M,no,no,4.0,4.0,4.0,1.0,3.0,5.0,0.0,13,14.0,12.0
GP,F,no,yes,4.0,3.0,2.0,1.0,1.0,5.0,0.0,16,16.0,16.0
GP,M,no,no,2.0,2.0,2.0,1.0,1.0,3.0,0.0,5,7.0,9.0
GP,M,no,yes,2.0,3.0,3.0,2.0,2.0,2.0,8.0,9,9.0,9.0
GP,F,yes,yes,4.0,2.0,2.0,1.0,1.0,,2.0,10,9.0,11.0
GP,F,no,no,3.0,4.0,4.0,3.0,3.0,1.0,2.0,14,14.0,14.0
GP,M,no,no,5.0,4.0,5.0,1.0,2.0,5.0,0.0,2,5.0,0.0
GP,F,yes,no,4.0,4.0,2.0,1.0,2.0,5.0,0.0,10,8.0,11.0
GP,F,no,no,3.0,3.0,2.0,1.0,1.0,3.0,0.0,4,6.0,7.0
GP,F,yes,no,4.0,3.0,2.0,1.0,1.0,5.0,2.0,11,10.0,11.0
GP,M,no,no,3.0,3.0,2.0,2.0,1.0,5.0,0.0,4,7.0,6.0
GP,M,no,no,4.0,5.0,5.0,2.0,5.0,5.0,0.0,9,8.0,9.0
GP,M,no,no,2.0,3.0,5.0,2.0,5.0,4.0,0.0,4,6.0,5.0
GP,M,no,yes,4.0,4.0,4.0,3.0,5.0,5.0,6.0,13,12.0,13.0
GP,F,yes,yes,4.0,2.0,1.0,2.0,3.0,3.0,8.0,10,10.0,10.0
GP,M,no,no,4.0,5.0,4.0,1.0,1.0,4.0,0.0,2,5.0,0.0
GP,F,no,no,4.0,2.0,1.0,1.0,1.0,4.0,0.0,11,11.0,11.0
GP,M,yes,yes,4.0,4.0,4.0,1.0,1.0,1.0,2.0,9,11.0,8.0
GP,M,no,no,2.0,2.0,2.0,3.0,3.0,5.0,8.0,14,16.0,12.0
GP,F,no,yes,5.0,2.0,5.0,1.0,5.0,4.0,6.0,9,9.0,8.0
GP,M,no,no,4.0,2.0,2.0,1.0,2.0,3.0,2.0,16,17.0,15.0
GP,M,yes,no,4.0,5.0,5.0,4.0,4.0,5.0,4.0,11,10.0,12.0
GP,M,no,yes,3.0,3.0,2.0,2.0,2.0,5.0,0.0,4,7.0,6.0
GP,M,no,no,4.0,4.0,4.0,1.0,4.0,3.0,6.0,7,5.0,9.0
GP,M,no,yes,4.0,4.0,4.0,2.0,4.0,5.0,0.0,2,7.0,0.0
GP,M,no,no,5.0,3.0,3.0,1.0,4.0,2.0,2.0,10,10.0,10.0
GP,M,no,yes,5.0,3.0,5.0,1.0,5.0,5.0,0.0,7,5.0,8.0
GP,M,no,yes,4.0,5.0,2.0,1.0,1.0,2.0,16.0,12,12.0,11.0
GP,M,no,no,4.0,3.0,5.0,2.0,4.0,4.0,4.0,10,10.0,10.0
GP,F,yes,no,4.0,2.0,3.0,1.0,1.0,3.0,0.0,15,14.0,15.0
GP,F,yes,no,5.0,1.0,5.0,1.0,1.0,4.0,0.0,4,6.0,7.0
GP,F,yes,no,4.0,4.0,2.0,1.0,1.0,3.0,0.0,14,14.0,14.0
GP,M,no,yes,3.0,4.0,5.0,2.0,4.0,2.0,0.0,4,6.0,5.0
GP,M,yes,yes,4.0,3.0,2.0,1.0,1.0,3.0,2.0,15,13.0,15.0
GP,M,yes,yes,4.0,4.0,4.0,1.0,3.0,5.0,0.0,11,13.0,11.0
GP,F,no,yes,4.0,3.0,5.0,1.0,1.0,3.0,0.0,5,8.0,7.0
GP,F,yes,yes,4.0,4.0,5.0,1.0,1.0,4.0,4.0,10,10.0,11.0
GP,M,yes,yes,4.0,4.0,4.0,4.0,4.0,4.0,4.0,9,10.0,9.0
GP,F,yes,yes,3.0,4.0,4.0,1.0,4.0,5.0,2.0,12,13.0,13.0
GP,M,no,yes,4.0,3.0,4.0,1.0,4.0,4.0,4.0,6,6.0,5.0
GP,M,no,yes,4.0,3.0,3.0,3.0,4.0,3.0,10.0,9,10.0,8.0
GP,M,no,yes,5.0,2.0,3.0,1.0,1.0,2.0,4.0,10,10.0,10.0
GP,M,yes,yes,3.0,4.0,3.0,2.0,3.0,3.0,10.0,8,9.0,8.0
GP,M,yes,yes,4.0,2.0,3.0,1.0,2.0,3.0,2.0,12,12.0,13.0
GP,F,no,yes,5.0,4.0,2.0,2.0,3.0,5.0,0.0,17,16.0,17.0
GP,F,no,yes,5.0,3.0,3.0,2.0,3.0,1.0,56.0,9,9.0,9.0
GP,F,yes,no,1.0,2.0,2.0,1.0,2.0,1.0,14.0,12,12.0,13.0
GP,M,no,yes,4.0,3.0,4.0,2.0,3.0,4.0,12.0,12,12.0,12.0
GP,M,yes,yes,3.0,3.0,3.0,1.0,2.0,3.0,2.0,11,11.0,12.0
GP,M,yes,yes,4.0,2.0,3.0,1.0,2.0,5.0,0.0,15,15.0,15.0
GP,F,no,no,3.0,3.0,3.0,1.0,3.0,3.0,6.0,8,8.0,7.0
GP,M,no,no,3.0,1.0,3.0,1.0,5.0,3.0,4.0,9,8.0,9.0
GP,F,no,no,4.0,3.0,3.0,1.0,1.0,2.0,10.0,12,11.0,12.0
GP,F,no,yes,5.0,3.0,3.0,1.0,1.0,3.0,0.0,8,8.0,8.0
GP,M,yes,yes,4.0,4.0,4.0,4.0,5.0,5.0,12.0,8,7.0,8.0
GP,M,no,yes,4.0,3.0,2.0,3.0,4.0,5.0,8.0,9,8.0,9.0
GP,M,no,no,5.0,3.0,3.0,1.0,1.0,3.0,0.0,14,13.0,14.0
GP,F,no,yes,4.0,3.0,2.0,1.0,1.0,5.0,0.0,15,14.0,15.0
GP,M,no,no,5.0,2.0,3.0,1.0,2.0,5.0,4.0,16,17.0,15.0
GP,M,yes,yes,3.0,3.0,4.0,3.0,5.0,3.0,8.0,9,9.0,9.0
GP,F,no,no,4.0,2.0,4.0,2.0,3.0,2.0,24.0,18,18.0,18.0
GP,F,yes,no,4.0,5.0,2.0,1.0,2.0,3.0,0.0,9,9.0,9.0
GP,F,no,yes,4.0,3.0,5.0,1.0,5.0,2.0,2.0,16,16.0,16.0
GP,F,yes,yes,4.0,4.0,,1.0,3.0,4.0,6.0,9,8.0,10.0
GP,F,yes,no,4.0,4.0,4.0,1.0,3.0,1.0,4.0,9,9.0,9.0
GP,F,no,no,5.0,3.0,2.0,1.0,2.0,3.0,18.0,6,7.0,6.0
GP,F,yes,yes,5.0,3.0,5.0,1.0,1.0,5.0,6.0,10,10.0,10.0
GP,F,yes,no,4.0,4.0,3.0,3.0,4.0,5.0,28.0,9,10.0,9.0
GP,F,yes,no,2.0,3.0,3.0,2.0,2.0,4.0,5.0,7,7.0,7.0
GP,F,yes,yes,1.0,3.0,2.0,1.0,1.0,1.0,10.0,12,11.0,12.0
GP,F,yes,no,4.0,3.0,2.0,1.0,4.0,5.0,6.0,9,9.0,9.0
GP,F,yes,yes,4.0,4.0,2.0,1.0,1.0,4.0,6.0,7,7.0,7.0
GP,F,yes,yes,4.0,3.0,3.0,1.0,2.0,3.0,10.0,8,8.0,8.0
GP,M,yes,no,5.0,3.0,5.0,4.0,5.0,3.0,13.0,12,12.0,12.0
GP,F,yes,no,3.0,3.0,4.0,1.0,1.0,4.0,0.0,13,12.0,13.0
GP,M,yes,yes,4.0,4.0,4.0,2.0,4.0,5.0,15.0,7,6.0,7.0
GP,F,yes,no,5.0,2.0,1.0,1.0,2.0,3.0,12.0,9,8.0,10.0
GP,F,yes,no,4.0,4.0,4.0,1.0,3.0,1.0,2.0,15,14.0,15.0
GP,F,yes,no,3.0,4.0,5.0,2.0,4.0,1.0,22.0,5,6.0,6.0
GP,M,yes,no,3.0,2.0,4.0,2.0,4.0,4.0,13.0,7,6.0,6.0
GP,F,yes,no,3.0,3.0,3.0,1.0,4.0,3.0,3.0,7,7.0,7.0
GP,F,yes,yes,4.0,3.0,3.0,1.0,1.0,4.0,4.0,10,9.0,10.0
GP,F,no,yes,4.0,2.0,5.0,1.0,2.0,5.0,2.0,6,6.0,6.0
GP,F,no,yes,4.0,3.0,4.0,1.0,1.0,5.0,0.0,4,6.0,5.0
GP,F,no,no,2.0,3.0,1.0,1.0,1.0,3.0,2.0,16,16.0,16.0
GP,M,yes,no,3.0,3.0,3.0,5.0,5.0,4.0,0.0,13,12.0,13.0
GP,F,no,yes,5.0,3.0,2.0,1.0,1.0,5.0,0.0,13,13.0,13.0
GP,F,no,yes,5.0,3.0,3.0,1.0,1.0,4.0,,8,9.0,8.0
GP,F,no,yes,5.0,3.0,4.0,1.0,3.0,3.0,10.0,15,16.0,15.0
GP,M,yes,no,5.0,3.0,3.0,1.0,3.0,3.0,2.0,12,12.0,11.0
GP,M,yes,yes,4.0,3.0,2.0,4.0,5.0,3.0,14.0,9,10.0,8.0
GP,F,no,yes,3.0,2.0,3.0,1.0,2.0,3.0,10.0,11,12.0,10.0
GP,F,no,yes,3.0,2.0,3.0,1.0,2.0,3.0,14.0,13,13.0,13.0
GP,M,yes,yes,4.0,5.0,2.0,1.0,1.0,1.0,4.0,11,11.0,11.0
GP,M,no,yes,4.0,5.0,5.0,1.0,3.0,2.0,14.0,10,11.0,9.0
GP,M,yes,yes,4.0,2.0,4.0,2.0,4.0,1.0,2.0,13,,13.0
GP,M,yes,no,3.0,4.0,2.0,1.0,1.0,5.0,18.0,7,9.0,7.0
GP,M,no,yes,5.0,3.0,3.0,1.0,3.0,2.0,10.0,10,11.0,9.0
GP,M,yes,yes,4.0,4.0,2.0,5.0,5.0,4.0,4.0,13,14.0,13.0
GP,F,no,no,4.0,5.0,2.0,1.0,1.0,5.0,20.0,12,13.0,12.0
GP,F,no,yes,2.0,1.0,1.0,1.0,1.0,3.0,2.0,12,13.0,11.0
GP,M,no,no,5.0,5.0,4.0,3.0,5.0,2.0,0.0,5,7.0,7.0
GP,M,no,yes,2.0,5.0,5.0,1.0,4.0,5.0,14.0,12,12.0,12.0
GP,M,yes,no,3.0,3.0,3.0,2.0,3.0,4.0,2.0,11,10.0,11.0
GP,M,no,yes,5.0,4.0,5.0,1.0,1.0,3.0,0.0,2,6.0,0.0
GP,M,no,yes,5.0,3.0,2.0,1.0,2.0,5.0,0.0,12,13.0,12.0
GP,F,yes,no,4.0,4.0,4.0,1.0,1.0,3.0,0.0,2,7.0,0.0
GP,M,no,no,4.0,3.0,3.0,1.0,1.0,4.0,6.0,18,18.0,18.0
GP,M,no,no,5.0,2.0,2.0,1.0,1.0,2.0,4.0,12,12.0,12.0
GP,M,no,no,5.0,4.0,5.0,5.0,5.0,1.0,16.0,7,6.0,8.0
GP,M,no,no,4.0,3.0,3.0,1.0,3.0,5.0,8.0,4,3.0,5.0
GP,M,yes,no,4.0,3.0,2.0,2.0,4.0,5.0,0.0,14,13.0,15.0
GP,M,no,no,4.0,4.0,5.0,2.0,4.0,5.0,0.0,7,6.0,8.0
GP,M,no,no,5.0,3.0,3.0,1.0,3.0,2.0,6.0,9,7.0,10.0
GP,M,no,no,3.0,2.0,5.0,2.0,5.0,5.0,4.0,8,6.0,9.0
GP,M,no,yes,3.0,3.0,2.0,1.0,3.0,3.0,0.0,8,8.0,9.0
GP,M,no,no,4.0,4.0,2.0,2.0,4.0,5.0,0.0,11,8.0,12.0
GP,M,no,yes,4.0,4.0,4.0,1.0,2.0,5.0,2.0,8,7.0,9.0
GP,F,yes,yes,4.0,2.0,3.0,1.0,1.0,4.0,6.0,13,14.0,12.0
GP,M,no,no,4.0,3.0,1.0,1.0,1.0,1.0,12.0,11,11.0,11.0
GP,M,no,yes,5.0,2.0,4.0,1.0,2.0,4.0,8.0,14,15.0,14.0
GP,F,yes,yes,3.0,4.0,1.0,1.0,1.0,2.0,0.0,6,10.0,9.0
GP,F,yes,no,3.0,1.0,2.0,1.0,3.0,2.0,21.0,18,17.0,18.0
GP,M,yes,no,4.0,3.0,2.0,1.0,1.0,3.0,2.0,8,8.0,8.0
GP,M,no,yes,5.0,3.0,2.0,1.0,1.0,3.0,1.0,12,13.0,12.0
GP,F,no,yes,3.0,2.0,3.0,1.0,1.0,4.0,4.0,9,10.0,9.0
GP,F,yes,yes,4.0,3.0,3.0,1.0,1.0,3.0,0.0,6,9.0,10.0
GP,M,yes,yes,4.0,2.0,5.0,3.0,4.0,1.0,13.0,17,17.0,17.0
GP,M,yes,yes,5.0,4.0,4.0,3.0,4.0,5.0,2.0,9,9.0,9.0
GP,F,yes,yes,4.0,3.0,4.0,2.0,2.0,4.0,8.0,11,12.0,10.0
GP,M,yes,yes,5.0,4.0,5.0,1.0,3.0,5.0,10.0,10,10.0,9.0
GP,F,no,no,4.0,3.0,5.0,1.0,2.0,3.0,0.0,2,6.0,0.0
GP,F,yes,yes,4.0,3.0,5.0,3.0,3.0,5.0,15.0,9,9.0,9.0
GP,F,yes,yes,4.0,5.0,5.0,1.0,3.0,2.0,4.0,14,15.0,14.0
GP,F,yes,no,4.0,4.0,3.0,1.0,1.0,3.0,2.0,11,11.0,11.0
GP,M,yes,yes,3.0,5.0,2.0,2.0,2.0,1.0,2.0,14,15.0,14.0
GP,F,yes,no,4.0,3.0,3.0,1.0,1.0,1.0,2.0,10,10.0,10.0
GP,F,yes,no,4.0,4.0,4.0,2.0,3.0,5.0,6.0,12,12.0,12.0
GP,F,no,no,4.0,1.0,1.0,1.0,1.0,5.0,75.0,9,10.0,9.0
GP,M,yes,yes,3.0,2.0,4.0,1.0,4.0,3.0,22.0,9,9.0,9.0
GP,F,no,yes,2.0,4.0,4.0,1.0,1.0,4.0,15.0,8,9.0,8.0
GP,M,yes,yes,4.0,2.0,3.0,1.0,2.0,1.0,8.0,10,10.0,11.0
GP,M,yes,yes,4.0,5.0,4.0,2.0,4.0,5.0,30.0,8,8.0,8.0
GP,M,no,no,4.0,4.0,4.0,3.0,4.0,3.0,19.0,10,11.0,9.0
GP,F,yes,yes,5.0,2.0,2.0,1.0,1.0,3.0,1.0,12,12.0,12.0
GP,F,no,yes,5.0,4.0,4.0,1.0,1.0,4.0,4.0,9,8.0,9.0
GP,F,no,no,5.0,4.0,5.0,1.0,2.0,5.0,4.0,10,10.0,9.0
GP,M,yes,no,4.0,3.0,3.0,1.0,2.0,4.0,2.0,11,12.0,10.0
GP,F,yes,no,4.0,3.0,3.0,1.0,2.0,2.0,5.0,18,18.0,18.0
GP,F,yes,no,4.0,3.0,3.0,1.0,1.0,3.0,6.0,12,13.0,12.0
GP,M,yes,yes,4.0,2.0,4.0,1.0,3.0,2.0,6.0,14,15.0,14.0
GP,M,yes,yes,5.0,4.0,3.0,1.0,1.0,2.0,9.0,14,15.0,13.0
GP,M,yes,yes,4.0,3.0,2.0,1.0,4.0,5.0,11.0,11,12.0,11.0
